LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1740487277.858148,3154851.000,49600,3,PI,1,100,177781
1740487277.898150,3154891.000,49600,3,PI,1,100,177854
1740487277.938151,3154931.000,49600,3,PI,1,100,177904
1740487277.978153,3154971.000,49616,3,PI,1,100,177915
1740487278.018155,3155011.000,49616,3,PI,1,100,177944
1740487278.058156,3155051.000,49616,3,PI,1,100,177352
1740487278.098158,3155091.000,49633,2,PI,1,100,176482
1740487278.138159,3155131.000,49633,2,PI,1,100,176467
1740487278.178161,3155171.000,49650,3,PI,1,100,176915
1740487278.218163,3155211.000,49650,3,PI,1,100,177362
1740487278.258164,3155251.000,49650,3,PI,1,100,177619
1740487278.298166,3155291.000,49668,2,PI,1,100,177724
1740487278.338168,3155331.000,49668,2,PI,1,100,177707
1740487278.378169,3155371.000,49684,3,PI,1,100,177652
1740487278.418171,3155411.000,49684,3,PI,1,100,177669
1740487278.458173,3155451.000,49684,3,PI,1,100,177710
1740487278.498174,3155491.000,49700,3,PI,1,100,177791
1740487278.538176,3155531.000,49700,3,PI,1,100,177849
1740487278.578177,3155571.000,49700,3,PI,1,100,177910
1740487278.618179,3155611.000,49717,2,PI,1,100,177967
1740487278.658181,3155651.000,49717,2,PI,1,100,178004
1740487278.698182,3155691.000,49733,3,PI,1,100,178054
1740487278.738184,3155731.000,49733,3,PI,1,100,178053
1740487278.778186,3155771.000,49733,3,PI,1,100,177599
1740487278.818187,3155811.000,49750,2,PI,1,100,176599
1740487278.858189,3155851.000,49750,2,PI,1,100,176448
1740487278.898191,3155891.000,49765,3,PI,1,100,176830
1740487278.938192,3155931.000,49765,3,PI,1,100,177310
1740487278.978194,3155971.000,49765,3,PI,1,100,177548
1740487279.018195,3156011.000,49784,2,PI,1,100,177704
1740487279.058197,3156051.000,49784,2,PI,1,100,177730
1740487279.098199,3156091.000,49808,4,PI,1,100,177669
1740487279.138200,3156131.000,49808,4,PI,1,100,177625
1740487279.178202,3156171.000,49808,4,PI,1,100,177683
1740487279.218204,3156211.000,49808,4,PI,1,100,177734
1740487279.258205,3156251.000,49825,2,PI,1,100,177799
1740487279.298207,3156291.000,49825,2,PI,1,100,177876
1740487279.342542,3156335.333,49841,3,PI,1,100,177895
1740487279.386877,3156379.667,49841,3,PI,1,100,177948
1740487279.431212,3156424.000,49841,3,PI,1,100,177947
1740487279.471214,3156464.000,49857,2,PI,1,100,177588
1740487279.511216,3156504.000,49857,2,PI,1,100,176627
1740487279.551217,3156544.000,49873,3,PI,1,100,176426
1740487279.591219,3156584.000,49873,3,PI,1,100,176783
1740487279.631221,3156624.000,49873,3,PI,1,100,177248
1740487279.671222,3156664.000,49890,2,PI,1,100,177533
1740487279.711224,3156704.000,49890,2,PI,1,100,177670
1740487279.751225,3156744.000,49909,3,PI,1,100,177713
1740487279.791227,3156784.000,49909,3,PI,1,100,177609
1740487279.831229,3156824.000,49909,3,PI,1,100,177569
1740487279.871230,3156864.000,49924,2,PI,1,100,177643
1740487279.911232,3156904.000,49924,2,PI,1,100,177719
1740487279.951234,3156944.000,49940,3,PI,1,100,177831
1740487279.991235,3156984.000,49940,3,PI,1,100,177898
1740487280.031237,3157024.000,49940,3,PI,1,100,177927
1740487280.071239,3157064.000,49958,2,PI,1,100,177919
1740487280.111240,3157104.000,49958,2,PI,1,100,177957
1740487280.151242,3157144.000,49974,3,PI,1,100,177965
1740487280.191243,3157184.000,49974,3,PI,1,100,177803
1740487280.231245,3157224.000,49974,3,PI,1,100,176773
1740487280.271247,3157264.000,49989,2,PI,1,100,176264
1740487280.311248,3157304.000,49989,2,PI,1,100,176471
1740487280.351250,3157344.000,50005,3,PI,1,100,176874
1740487280.391252,3157384.000,50005,3,PI,1,100,177198
1740487280.431253,3157424.000,50005,3,PI,1,100,177388
1740487280.471255,3157464.000,50025,3,PI,1,100,177495
1740487280.511257,3157504.000,50025,3,PI,1,100,177461
1740487280.551258,3157544.000,50025,3,PI,1,100,177386
1740487280.591260,3157584.000,50041,2,PI,1,100,177365
1740487280.631262,3157624.000,50041,2,PI,1,100,177466
1740487280.671263,3157664.000,50057,3,PI,1,100,177585
1740487280.711265,3157704.000,50057,3,PI,1,100,177701
1740487280.751266,3157744.000,50057,3,PI,1,100,177763
1740487280.791268,3157784.000,50073,3,PI,1,100,177799
1740487280.831270,3157824.000,50073,3,PI,1,100,177843
1740487280.871271,3157864.000,50073,3,PI,1,100,177884
1740487280.911273,3157904.000,50090,2,PI,1,100,177619
1740487280.951275,3157944.000,50090,2,PI,1,100,176464
1740487280.991276,3157984.000,50106,3,PI,1,100,175995
1740487281.031278,3158024.000,50106,3,PI,1,100,176228
1740487281.071280,3158064.000,50106,3,PI,1,100,176640
1740487281.111281,3158104.000,50124,2,PI,1,100,176976
1740487281.151283,3158144.000,50124,2,PI,1,100,177198
1740487281.191284,3158184.000,50141,3,PI,1,100,177303
1740487281.231286,3158224.000,50141,3,PI,1,100,177241
1740487281.271288,3158264.000,50141,3,PI,1,100,177179
1740487281.311289,3158304.000,50157,2,PI,1,100,177246
1740487281.351291,3158344.000,50157,2,PI,1,100,177381
1740487281.391293,3158384.000,50174,3,PI,1,100,177501
1740487281.431294,3158424.000,50174,3,PI,1,100,177595
1740487281.471296,3158464.000,50174,3,PI,1,100,177661
1740487281.511298,3158504.000,50191,3,PI,1,100,177708
1740487281.551299,3158544.000,50191,3,PI,1,100,177764
1740487281.591301,3158584.000,50191,3,PI,1,100,177778
1740487281.637803,3158630.500,50207,2,PI,1,100,177821
1740487281.684305,3158677.000,50207,2,PI,1,100,177308
1740487281.724806,3158717.500,50223,2,PI,1,100,176225
1740487281.765308,3158758.000,50223,2,PI,1,100,176013
1740487281.804976,3158797.667,50239,3,PI,1,100,176360
1740487281.844645,3158837.333,50239,3,PI,1,100,176808
1740487281.884313,3158877.000,50239,3,PI,1,100,177118
1740487281.924314,3158917.000,50258,2,PI,1,100,177275
1740487281.964316,3158957.000,50258,2,PI,1,100,177345
1740487282.004318,3158997.000,50274,3,PI,1,100,177265
1740487282.044319,3159037.000,50274,3,PI,1,100,177219
1740487282.084321,3159077.000,50274,3,PI,1,100,177263
1740487282.124323,3159117.000,50290,2,PI,1,100,177388
1740487282.164324,3159157.000,50290,2,PI,1,100,177499
1740487282.204326,3159197.000,50306,3,PI,1,100,177551
1740487282.244328,3159237.000,50306,3,PI,1,100,177608
1740487282.284329,3159277.000,50306,3,PI,1,100,177668
1740487282.324331,3159317.000,50323,3,PI,1,100,177697
1740487282.364332,3159357.000,50323,3,PI,1,100,177735
1740487282.404334,3159397.000,50323,3,PI,1,100,177716
1740487282.444336,3159437.000,50340,2,PI,1,100,176832
1740487282.484337,3159477.000,50340,2,PI,1,100,176070
1740487282.524339,3159517.000,50355,3,PI,1,100,176189
1740487282.564341,3159557.000,50355,3,PI,1,100,176649
1740487282.604342,3159597.000,50355,3,PI,1,100,177054
1740487282.644344,3159637.000,50373,2,PI,1,100,177333
1740487282.684346,3159677.000,50373,2,PI,1,100,177439
1740487282.724347,3159717.000,50391,3,PI,1,100,177414
1740487282.764349,3159757.000,50391,3,PI,1,100,177332
1740487282.804350,3159797.000,50391,3,PI,1,100,177312
1740487282.844352,3159837.000,50407,2,PI,1,100,177403
1740487282.884354,3159877.000,50407,2,PI,1,100,177507
1740487282.924355,3159917.000,50422,3,PI,1,100,177590
1740487282.964357,3159957.000,50422,3,PI,1,100,177680
1740487283.004359,3159997.000,50422,3,PI,1,100,177723
1740487283.044360,3160037.000,50439,3,PI,1,100,177755
1740487283.084362,3160077.000,50439,3,PI,1,100,177780
1740487283.124364,3160117.000,50439,3,PI,1,100,177716
1740487283.164365,3160157.000,50456,2,PI,1,100,176923
1740487283.204367,3160197.000,50456,2,PI,1,100,176247
1740487283.244368,3160237.000,50472,3,PI,1,100,176427
1740487283.284370,3160277.000,50472,3,PI,1,100,176900
1740487283.324372,3160317.000,50472,3,PI,1,100,177328
1740487283.364373,3160357.000,50491,2,PI,1,100,177526
1740487283.404375,3160397.000,50491,2,PI,1,100,177598
1740487283.444377,3160437.000,50506,3,PI,1,100,177561
1740487283.484378,3160477.000,50506,3,PI,1,100,177444
1740487283.524380,3160517.000,50506,3,PI,1,100,177449
1740487283.564382,3160557.000,50523,3,PI,1,100,177555
1740487283.604383,3160597.000,50523,3,PI,1,100,177651
1740487283.644385,3160637.000,50523,3,PI,1,100,177717
1740487283.684387,3160677.000,50539,2,PI,1,100,177789
1740487283.724388,3160717.000,50539,2,PI,1,100,177847
1740487283.764390,3160757.000,50557,3,PI,1,100,177875
1740487283.804391,3160797.000,50557,3,PI,1,100,177902
1740487283.844393,3160837.000,50557,3,PI,1,100,177276
1740487283.891395,3160884.000,50571,2,PI,1,100,176362
1740487283.938397,3160931.000,50571,2,PI,1,100,176357
1740487283.978399,3160971.000,50588,2,PI,1,100,176808
1740487284.018400,3161011.000,50588,2,PI,1,100,177261
1740487284.058402,3161051.000,50607,3,PI,1,100,177508
1740487284.098403,3161091.000,50607,3,PI,1,100,177626
1740487284.138405,3161131.000,50607,3,PI,1,100,177636
1740487284.178207,3161170.800,50631,5,PI,1,100,177581
1740487284.218008,3161210.600,50631,5,PI,1,100,177539
1740487284.257810,3161250.400,50631,5,PI,1,100,177592
1740487284.297612,3161290.200,50631,5,PI,1,100,177691
1740487284.337413,3161330.000,50631,5,PI,1,100,177742
1740487284.377915,3161370.500,50647,2,PI,1,100,177832
1740487284.418417,3161411.000,50647,2,PI,1,100,177873
1740487284.458085,3161450.667,50665,3,PI,1,100,177921
1740487284.497753,3161490.333,50665,3,PI,1,100,177967
1740487284.537421,3161530.000,50665,3,PI,1,100,177769
1740487284.577423,3161570.000,50681,2,PI,1,100,176780
1740487284.617425,3161610.000,50681,2,PI,1,100,176346
1740487284.657426,3161650.000,50696,3,PI,1,100,176651
1740487284.697428,3161690.000,50696,3,PI,1,100,177179
1740487284.737430,3161730.000,50696,3,PI,1,100,177468
1740487284.777431,3161770.000,50715,2,PI,1,100,177611
1740487284.817433,3161810.000,50715,2,PI,1,100,177685
1740487284.857435,3161850.000,50732,3,PI,1,100,177656
1740487284.897436,3161890.000,50732,3,PI,1,100,177582
1740487284.937438,3161930.000,50732,3,PI,1,100,177633
1740487284.977439,3161970.000,50748,2,PI,1,100,177702
1740487285.017441,3162010.000,50748,2,PI,1,100,177770
1740487285.057693,3162050.250,50765,4,PI,1,100,177849
1740487285.097944,3162090.500,50765,4,PI,1,100,177919
1740487285.138196,3162130.750,50765,4,PI,1,100,177933
1740487285.178448,3162171.000,50765,4,PI,1,100,177969
1740487285.218449,3162211.000,50781,2,PI,1,100,177984
1740487285.258451,3162251.000,50781,2,PI,1,100,177387
1740487285.298119,3162290.667,50797,3,PI,1,100,176557
1740487285.337788,3162330.333,50797,3,PI,1,100,176564
1740487285.377456,3162370.000,50797,3,PI,1,100,177018
1740487285.417457,3162410.000,50814,2,PI,1,100,177438
1740487285.457459,3162450.000,50814,2,PI,1,100,177614
1740487285.497461,3162490.000,50833,3,PI,1,100,177716
1740487285.537462,3162530.000,50833,3,PI,1,100,177718
1740487285.577464,3162570.000,50833,3,PI,1,100,177675
1740487285.617966,3162610.500,50848,2,PI,1,100,177636
1740487285.658467,3162651.000,50848,2,PI,1,100,177676
1740487285.698136,3162690.667,50865,3,PI,1,100,177769
1740487285.737804,3162730.333,50865,3,PI,1,100,177859
1740487285.777472,3162770.000,50865,3,PI,1,100,177899
1740487285.817474,3162810.000,50881,2,PI,1,100,177950
1740487285.857475,3162850.000,50881,2,PI,1,100,177984
1740487285.897477,3162890.000,50898,3,PI,1,100,177971
1740487285.937479,3162930.000,50898,3,PI,1,100,177557
1740487285.977480,3162970.000,50898,3,PI,1,100,176717
1740487286.017482,3163010.000,50914,2,PI,1,100,176625
1740487286.057484,3163050.000,50914,2,PI,1,100,177001
1740487286.097485,3163090.000,50930,3,PI,1,100,177435
1740487286.137487,3163130.000,50930,3,PI,1,100,177669
1740487286.177489,3163170.000,50930,3,PI,1,100,177757
1740487286.224491,3163217.000,50948,2,PI,1,100,177766
1740487286.271492,3163264.000,50948,2,PI,1,100,177681
1740487286.311494,3163304.000,50965,3,PI,1,100,177677
1740487286.351496,3163344.000,50965,3,PI,1,100,177730
1740487286.391497,3163384.000,50965,3,PI,1,100,177800
1740487286.431499,3163424.000,50982,2,PI,1,100,177895
1740487286.471501,3163464.000,50982,2,PI,1,100,177946
1740487286.511502,3163504.000,50997,3,PI,1,100,177982
1740487286.551504,3163544.000,50997,3,PI,1,100,178018
1740487286.591506,3163584.000,50997,3,PI,1,100,178050
1740487286.631507,3163624.000,51013,2,PI,1,100,177971
1740487286.671509,3163664.000,51013,2,PI,1,100,177214
1740487286.711510,3163704.000,51031,3,PI,1,100,176572
1740487286.751512,3163744.000,51031,3,PI,1,100,176730
1740487286.791514,3163784.000,51031,3,PI,1,100,177206
1740487286.831515,3163824.000,51047,2,PI,1,100,177502
1740487286.871517,3163864.000,51047,2,PI,1,100,177634
1740487286.911519,3163904.000,51064,3,PI,1,100,177726
1740487286.951520,3163944.000,51064,3,PI,1,100,177711
1740487286.991522,3163984.000,51064,3,PI,1,100,177648
1740487287.031524,3164024.000,51080,3,PI,1,100,177673
1740487287.071525,3164064.000,51080,3,PI,1,100,177704
1740487287.111527,3164104.000,51080,3,PI,1,100,177775
1740487287.151528,3164144.000,51098,2,PI,1,100,177870
1740487287.191530,3164184.000,51098,2,PI,1,100,177910
1740487287.231532,3164224.000,51114,3,PI,1,100,177937
1740487287.271533,3164264.000,51114,3,PI,1,100,177973
1740487287.311535,3164304.000,51114,3,PI,1,100,178002
1740487287.351537,3164344.000,51131,3,PI,1,100,177648
1740487287.391538,3164384.000,51131,3,PI,1,100,176762
1740487287.431540,3164424.000,51131,3,PI,1,100,176627
1740487287.471542,3164464.000,51146,2,PI,1,100,176995
1740487287.511543,3164504.000,51146,2,PI,1,100,177384
1740487287.551211,3164543.667,51165,3,PI,1,100,177587
1740487287.590880,3164583.333,51165,3,PI,1,100,177682
1740487287.630548,3164623.000,51165,3,PI,1,100,177713
1740487287.671050,3164663.500,51181,2,PI,1,100,177671
1740487287.711551,3164704.000,51181,2,PI,1,100,177649
1740487287.751553,3164744.000,51199,3,PI,1,100,177688
1740487287.791555,3164784.000,51199,3,PI,1,100,177759
1740487287.831556,3164824.000,51199,3,PI,1,100,177826
1740487287.871558,3164864.000,51214,3,PI,1,100,177884
1740487287.911560,3164904.000,51214,3,PI,1,100,177917
1740487287.951561,3164944.000,51214,3,PI,1,100,177957
1740487287.991563,3164984.000,51230,2,PI,1,100,177974
1740487288.031564,3165024.000,51230,2,PI,1,100,177982
1740487288.071233,3165063.667,51247,3,PI,1,100,177790
1740487288.110901,3165103.333,51247,3,PI,1,100,176937
1740487288.150569,3165143.000,51247,3,PI,1,100,176645
1740487288.190571,3165183.000,51264,2,PI,1,100,176936
1740487288.230573,3165223.000,51264,2,PI,1,100,177352
1740487288.270574,3165263.000,51282,3,PI,1,100,177556
1740487288.310576,3165303.000,51282,3,PI,1,100,177680
1740487288.350578,3165343.000,51282,3,PI,1,100,177707
1740487288.391079,3165383.500,51298,2,PI,1,100,177684
1740487288.431581,3165424.000,51298,2,PI,1,100,177635
1740487288.478083,3165470.500,51314,2,PI,1,100,177655
1740487288.524585,3165517.000,51314,2,PI,1,100,177733
1740487288.564586,3165557.000,51331,3,PI,1,100,177834
1740487288.604588,3165597.000,51331,3,PI,1,100,177882
1740487288.644590,3165637.000,51331,3,PI,1,100,177952
1740487288.684591,3165677.000,51347,3,PI,1,100,177987
1740487288.724593,3165717.000,51347,3,PI,1,100,177978
1740487288.764594,3165757.000,51347,3,PI,1,100,177963
1740487288.804596,3165797.000,51363,2,PI,1,100,177535
1740487288.844598,3165837.000,51363,2,PI,1,100,176756
1740487288.884599,3165877.000,51379,3,PI,1,100,176753
1740487288.924601,3165917.000,51379,3,PI,1,100,177185
1740487288.964603,3165957.000,51379,3,PI,1,100,177554
1740487289.004604,3165997.000,51398,2,PI,1,100,177702
1740487289.044606,3166037.000,51398,2,PI,1,100,177795
1740487289.084608,3166077.000,51415,3,PI,1,100,177722
1740487289.124609,3166117.000,51415,3,PI,1,100,177593
1740487289.164611,3166157.000,51415,3,PI,1,100,177600
1740487289.204613,3166197.000,51432,2,PI,1,100,177686
1740487289.244614,3166237.000,51432,2,PI,1,100,177776
1740487289.284616,3166277.000,51454,5,PI,1,100,177861
1740487289.324617,3166317.000,51454,5,PI,1,100,177903
1740487289.364619,3166357.000,51454,5,PI,1,100,177947
1740487289.404621,3166397.000,51454,5,PI,1,100,177978
1740487289.444622,3166437.000,51454,5,PI,1,100,177972
1740487289.484624,3166477.000,51471,4,PI,1,100,177801
1740487289.524626,3166517.000,51471,4,PI,1,100,176888
1740487289.564627,3166557.000,51471,4,PI,1,100,176529
1740487289.604629,3166597.000,51471,4,PI,1,100,176776
1740487289.644631,3166637.000,51488,2,PI,1,100,177219
1740487289.684632,3166677.000,51488,2,PI,1,100,177461
1740487289.724634,3166717.000,51505,3,PI,1,100,177628
1740487289.764635,3166757.000,51505,3,PI,1,100,177685
1740487289.804637,3166797.000,51505,3,PI,1,100,177586
1740487289.844639,3166837.000,51522,2,PI,1,100,177556
1740487289.884640,3166877.000,51522,2,PI,1,100,177573
1740487289.924642,3166917.000,51538,3,PI,1,100,177652
1740487289.964644,3166957.000,51538,3,PI,1,100,177773
1740487290.004645,3166997.000,51538,3,PI,1,100,177847
1740487290.044647,3167037.000,51555,2,PI,1,100,177885
1740487290.084649,3167077.000,51555,2,PI,1,100,177936
1740487290.124650,3167117.000,51570,3,PI,1,100,177954
1740487290.164652,3167157.000,51570,3,PI,1,100,177917
1740487290.204653,3167197.000,51570,3,PI,1,100,177174
1740487290.244655,3167237.000,51587,2,PI,1,100,176398
1740487290.284657,3167277.000,51587,2,PI,1,100,176391
1740487290.324658,3167317.000,51603,3,PI,1,100,176727
1740487290.364660,3167357.000,51603,3,PI,1,100,177009
1740487290.404662,3167397.000,51603,3,PI,1,100,177202
1740487290.444663,3167437.000,51623,2,PI,1,100,177352
1740487290.484665,3167477.000,51623,2,PI,1,100,177391
1740487290.524667,3167517.000,51638,3,PI,1,100,177365
1740487290.564668,3167557.000,51638,3,PI,1,100,177347
1740487290.604670,3167597.000,51638,3,PI,1,100,177412
1740487290.644671,3167637.000,51654,2,PI,1,100,177521
1740487290.684673,3167677.000,51654,2,PI,1,100,177594
1740487290.729008,3167721.333,51671,3,PI,1,100,177695
1740487290.773343,3167765.667,51671,3,PI,1,100,177744
1740487290.817679,3167810.000,51671,3,PI,1,100,177756
1740487290.857680,3167850.000,51688,2,PI,1,100,177791
1740487290.897682,3167890.000,51688,2,PI,1,100,177781
1740487290.937683,3167930.000,51704,3,PI,1,100,177827
1740487290.977685,3167970.000,51704,3,PI,1,100,177684
1740487291.017687,3168010.000,51704,3,PI,1,100,176527
1740487291.057688,3168050.000,51720,2,PI,1,100,175930
1740487291.097690,3168090.000,51720,2,PI,1,100,176071
1740487291.137692,3168130.000,51736,3,PI,1,100,176447
1740487291.177693,3168170.000,51736,3,PI,1,100,176676
1740487291.217695,3168210.000,51736,3,PI,1,100,176811
1740487291.257697,3168250.000,51755,2,PI,1,100,177010
1740487291.297698,3168290.000,51755,2,PI,1,100,177033
1740487291.337700,3168330.000,51771,3,PI,1,100,177003
1740487291.377701,3168370.000,51771,3,PI,1,100,177035
1740487291.417703,3168410.000,51771,3,PI,1,100,177118
1740487291.457705,3168450.000,51787,2,PI,1,100,177236
1740487291.497706,3168490.000,51787,2,PI,1,100,177371
1740487291.537708,3168530.000,51805,3,PI,1,100,177432
1740487291.577710,3168570.000,51805,3,PI,1,100,177478
1740487291.617711,3168610.000,51805,3,PI,1,100,177532
1740487291.657713,3168650.000,51822,3,PI,1,100,177548
1740487291.697715,3168690.000,51822,3,PI,1,100,177573
1740487291.737716,3168730.000,51822,3,PI,1,100,177625
1740487291.777718,3168770.000,51840,8,PI,1,100,177501
1740487291.817719,3168810.000,51840,8,PI,1,100,176356
1740487291.857721,3168850.000,51840,8,PI,1,100,175661
1740487291.897723,3168890.000,51840,8,PI,1,100,175811
1740487291.937724,3168930.000,51840,8,PI,1,100,176177
1740487291.977726,3168970.000,51840,8,PI,1,100,176469
1740487292.017728,3169010.000,51840,8,PI,1,100,176641
1740487292.057729,3169050.000,51840,8,PI,1,100,176793
1740487292.097731,3169090.000,51859,4,PI,1,100,176887
1740487292.137733,3169130.000,51859,4,PI,1,100,176858
1740487292.177734,3169170.000,51859,4,PI,1,100,176857
1740487292.217736,3169210.000,51859,4,PI,1,100,176976
1740487292.257738,3169250.000,51876,4,PI,1,100,177099
1740487292.297739,3169290.000,51876,4,PI,1,100,177232
1740487292.337741,3169330.000,51876,4,PI,1,100,177303
1740487292.377742,3169370.000,51876,4,PI,1,100,177358
1740487292.417744,3169410.000,51892,2,PI,1,100,177404
1740487292.457746,3169450.000,51892,2,PI,1,100,177450
