LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1709495468.286951,58951.000,7001,3,PI,1,100,158077
1709495468.326952,58991.000,7017,2,PI,1,100,158018
1709495468.366952,59031.000,7017,2,PI,1,100,158056
1709495468.406953,59071.000,7035,3,PI,1,100,158164
1709495468.446953,59111.000,7035,3,PI,1,100,158293
1709495468.486954,59151.000,7035,3,PI,1,100,158388
1709495468.526954,59191.000,7053,2,PI,1,100,158512
1709495468.566955,59231.000,7053,2,PI,1,100,158588
1709495468.606955,59271.000,7068,3,PI,1,100,158670
1709495468.646955,59311.000,7068,3,PI,1,100,158738
1709495468.686956,59351.000,7068,3,PI,1,100,158774
1709495468.726956,59391.000,7085,2,PI,1,100,158827
1709495468.766957,59431.000,7085,2,PI,1,100,158885
1709495468.806957,59471.000,7102,3,PI,1,100,158946
1709495468.846958,59511.000,7102,3,PI,1,100,159023
1709495468.886958,59551.000,7102,3,PI,1,100,159146
1709495468.926959,59591.000,7118,3,PI,1,100,159278
1709495468.966959,59631.000,7118,3,PI,1,100,159364
1709495469.006960,59671.000,7118,3,PI,1,100,159123
1709495469.046960,59711.000,7134,2,PI,1,100,158333
1709495469.086960,59751.000,7134,2,PI,1,100,157744
1709495469.126961,59791.000,7150,3,PI,1,100,157561
1709495469.166961,59831.000,7150,3,PI,1,100,157602
1709495469.206962,59871.000,7150,3,PI,1,100,157626
1709495469.246962,59911.000,7167,2,PI,1,100,157782
1709495469.286963,59951.000,7167,2,PI,1,100,157893
1709495469.326963,59991.000,7183,3,PI,1,100,157869
1709495469.366964,60031.000,7183,3,PI,1,100,157722
1709495469.406964,60071.000,7183,3,PI,1,100,157660
1709495469.446965,60111.000,7200,2,PI,1,100,157727
1709495469.486965,60151.000,7200,2,PI,1,100,157828
1709495469.526965,60191.000,7217,3,PI,1,100,157932
1709495469.566966,60231.000,7217,3,PI,1,100,158034
1709495469.606966,60271.000,7217,3,PI,1,100,158110
1709495469.646967,60311.000,7234,2,PI,1,100,158246
1709495469.686967,60351.000,7234,2,PI,1,100,158331
1709495469.726968,60391.000,7253,3,PI,1,100,158419
1709495469.766968,60431.000,7253,3,PI,1,100,158480
1709495469.806969,60471.000,7253,3,PI,1,100,158575
1709495469.846969,60511.000,7270,2,PI,1,100,158679
1709495469.886970,60551.000,7270,2,PI,1,100,158751
1709495469.926970,60591.000,7284,3,PI,1,100,158854
1709495469.966970,60631.000,7284,3,PI,1,100,158948
1709495470.006971,60671.000,7284,3,PI,1,100,159084
1709495470.046971,60711.000,7302,2,PI,1,100,159238
1709495470.086972,60751.000,7302,2,PI,1,100,159309
1709495470.126972,60791.000,7318,3,PI,1,100,158961
1709495470.166973,60831.000,7318,3,PI,1,100,158062
1709495470.206973,60871.000,7318,3,PI,1,100,157434
1709495470.246974,60911.000,7335,3,PI,1,100,157257
1709495470.286974,60951.000,7335,3,PI,1,100,157255
1709495470.326975,60991.000,7335,3,PI,1,100,157259
1709495470.366975,61031.000,7350,2,PI,1,100,157327
1709495470.406975,61071.000,7350,2,PI,1,100,157457
1709495470.446976,61111.000,7367,3,PI,1,100,157419
1709495470.486976,61151.000,7367,3,PI,1,100,157284
1709495470.526977,61191.000,7367,3,PI,1,100,157213
1709495470.566977,61231.000,7383,2,PI,1,100,157253
1709495470.606978,61271.000,7383,2,PI,1,100,157391
1709495470.646978,61311.000,7402,3,PI,1,100,157514
1709495470.686979,61351.000,7402,3,PI,1,100,157592
1709495470.726979,61391.000,7402,3,PI,1,100,157704
1709495470.773480,61437.500,7417,2,PI,1,100,157793
1709495470.819980,61484.000,7417,2,PI,1,100,157886
1709495470.859981,61524.000,7434,2,PI,1,100,157965
1709495470.899981,61564.000,7434,2,PI,1,100,158050
1709495470.939981,61604.000,7450,3,PI,1,100,158111
1709495470.979982,61644.000,7450,3,PI,1,100,158227
1709495471.019982,61684.000,7450,3,PI,1,100,158326
1709495471.059983,61724.000,7468,3,PI,1,100,158420
1709495471.099983,61764.000,7468,3,PI,1,100,158535
1709495471.139984,61804.000,7468,3,PI,1,100,158648
1709495471.179984,61844.000,7482,2,PI,1,100,158731
1709495471.219985,61884.000,7482,2,PI,1,100,158819
1709495471.259985,61924.000,7499,3,PI,1,100,158995
1709495471.299986,61964.000,7499,3,PI,1,100,159147
1709495471.339986,62004.000,7499,3,PI,1,100,159198
1709495471.379986,62044.000,7516,2,PI,1,100,158724
1709495471.419987,62084.000,7516,2,PI,1,100,157850
1709495471.459987,62124.000,7533,3,PI,1,100,157360
1709495471.499988,62164.000,7533,3,PI,1,100,157293
1709495471.539988,62204.000,7533,3,PI,1,100,157378
1709495471.579989,62244.000,7548,2,PI,1,100,157448
1709495471.619989,62284.000,7548,2,PI,1,100,157547
1709495471.659990,62324.000,7571,3,PI,1,100,157692
1709495471.699990,62364.000,7571,3,PI,1,100,157620
1709495471.739991,62404.000,7571,3,PI,1,100,157508
1709495471.779991,62444.000,7588,2,PI,1,100,157473
1709495471.819991,62484.000,7588,2,PI,1,100,157559
1709495471.859992,62524.000,7607,3,PI,1,100,157676
1709495471.899992,62564.000,7607,3,PI,1,100,157800
1709495471.939993,62604.000,7607,3,PI,1,100,157916
1709495471.979993,62644.000,7623,2,PI,1,100,158025
1709495472.019994,62684.000,7623,2,PI,1,100,158128
1709495472.059994,62724.000,7639,3,PI,1,100,158236
1709495472.099995,62764.000,7639,3,PI,1,100,158306
1709495472.139995,62804.000,7639,3,PI,1,100,158355
1709495472.179996,62844.000,7655,2,PI,1,100,158437
1709495472.219996,62884.000,7655,2,PI,1,100,158534
1709495472.259996,62924.000,7672,3,PI,1,100,158654
1709495472.299997,62964.000,7672,3,PI,1,100,158761
1709495472.339997,63004.000,7672,3,PI,1,100,158850
1709495472.379998,63044.000,7689,3,PI,1,100,158959
1709495472.419998,63084.000,7689,3,PI,1,100,159034
1709495472.459999,63124.000,7689,3,PI,1,100,159174
1709495472.499999,63164.000,7704,2,PI,1,100,159301
1709495472.540000,63204.000,7704,2,PI,1,100,159339
1709495472.580000,63244.000,7720,3,PI,1,100,158928
1709495472.620001,63284.000,7720,3,PI,1,100,158134
1709495472.660001,63324.000,7720,3,PI,1,100,157758
